task_name,task_description,priority,status,task_size,sprint,days_until_due,is_overdue,supporting_materials,sprint_name,task_summary_ai,task_category_ai
Reduce hourly rate prominence,Make hourly rate display smaller and less visually dominant on talent cards.,High,Backlog,small,Benoit Meeting Tasks,NaN,checked,0,Benoit Meeting Tasks,,
Telegram campaign automation,"Automate outreach on Telegram while avoiding bans (multiple accounts, gradual ramp-up).",High,Backlog,small,Benoit Meeting Tasks,NaN,checked,0,Benoit Meeting Tasks,,
Block name/contact visibility when not connected,Bug: talent name/contact visible when not connected. Ensure only approved/connected users can see sensitive fields. Overlaps with access-control work.,High,Backlog,small,Benoit Meeting Tasks,NaN,checked,0,Benoit Meeting Tasks,,
Mask talent name/contact on main page,Hide talent name and contact info on listings. Show first letter or a random word until viewer is connected + approved.,High,Backlog,small,Benoit Meeting Tasks,NaN,checked,0,Benoit Meeting Tasks,,
Add price range filter to talent search,Allow companies to filter talents by hourly rate range to match budget.,High,Backlog,small,Benoit Meeting Tasks,NaN,checked,0,Benoit Meeting Tasks,,
Protect talent details behind approved access,Require users to be connected and have an approved profile (talent or company) before seeing sensitive talent details. Prevent external recruiters from accessing contact info.,High,Backlog,small,Benoit Meeting Tasks,NaN,checked,0,Benoit Meeting Tasks,,
Add price range filter to talent search,Allow companies to filter talents by hourly rate range to match budget.,High,Backlog,small,Benoit Meeting Tasks,,,,,,
Reduce hourly rate prominence,Make hourly rate display smaller and less visually dominant on talent cards.,High,Backlog,small,Benoit Meeting Tasks,,,,,,
Mask talent name/contact on main page,Hide talent name and contact info on listings. Show first letter or a random word until viewer is connected + approved.,High,Backlog,small,Benoit Meeting Tasks,,,,,,
Protect talent details behind approved access,Require users to be connected and have an approved profile (talent or company) before seeing sensitive talent details. Prevent external recruiters from accessing contact info.,High,Backlog,small,Benoit Meeting Tasks,,,,,,
Telegram campaign automation,"Automate outreach on Telegram while avoiding bans (multiple accounts, gradual ramp-up).",High,Backlog,small,Benoit Meeting Tasks,,,,,,
Block name/contact visibility when not connected,Bug: talent name/contact visible when not connected. Ensure only approved/connected users can see sensitive fields. Overlaps with access-control work.,High,Backlog,small,Benoit Meeting Tasks,,,,,,
Export data as CSV,Enable CSV export for job postings and candidate applications.,Medium,Backlog,small,Benoit Meeting Tasks,NaN,checked,0,Benoit Meeting Tasks,,
Internal messaging system,Build in-product messaging for companies and talents to communicate.,Medium,Backlog,small,Benoit Meeting Tasks,NaN,checked,0,Benoit Meeting Tasks,,
Company dashboard,Dashboard for companies to see analytics and manage job postings/applications.,Medium,Backlog,small,Benoit Meeting Tasks,NaN,checked,0,Benoit Meeting Tasks,,
Fix logout on page reload,Users are logged out after reload; investigate auth persistence and fix.,Medium,Backlog,small,Benoit Meeting Tasks,NaN,checked,0,Benoit Meeting Tasks,,
Talent profile approval system,Implement approval workflow for talent profiles to control access and visibility.,Medium,Backlog,small,Benoit Meeting Tasks,NaN,checked,0,Benoit Meeting Tasks,,
Company dashboard,Dashboard for companies to see analytics and manage job postings/applications.,Medium,Backlog,small,Benoit Meeting Tasks,,,,,,
Internal messaging system,Build in-product messaging for companies and talents to communicate.,Medium,Backlog,small,Benoit Meeting Tasks,,,,,,
Talent profile approval system,Implement approval workflow for talent profiles to control access and visibility.,Medium,Backlog,small,Benoit Meeting Tasks,,,,,,
Export data as CSV,Enable CSV export for job postings and candidate applications.,Medium,Backlog,small,Benoit Meeting Tasks,,,,,,
Fix logout on page reload,Users are logged out after reload; investigate auth persistence and fix.,Medium,Backlog,small,Benoit Meeting Tasks,,,,,,
Blockchain webinar,Organize and run webinar on blockchain technology for the programming club.,Low,Backlog,small,Benoit Meeting Tasks,NaN,checked,0,Benoit Meeting Tasks,,
Design improvements,General UI polish: color scheme and layout improvements.,Low,Backlog,small,Benoit Meeting Tasks,NaN,checked,0,Benoit Meeting Tasks,,
Design improvements,General UI polish: color scheme and layout improvements.,Low,Backlog,small,Benoit Meeting Tasks,,,,,,
Blockchain webinar,Organize and run webinar on blockchain technology for the programming club.,Low,Backlog,small,Benoit Meeting Tasks,,,,,,
